Mile,Pace,Mins,Seconds,Total
1,09:03,9,3,543
2,08:53,8,53,533
3,08:52,8,52,532
4,08:42,8,42,522
5,08:41,8,41,521
6,08:43,8,43,523
7,08:51,8,51,531
8,08:52,8,52,532
9,08:42,8,42,522
10,08:50,8,50,530
11,08:37,8,37,517
12,08:43,8,43,523
13,08:48,8,48,528
14,08:36,8,36,516
15,08:59,8,59,539
16,09:00,9,0,540
17,08:57,8,57,537
18,09:05,9,5,545
19,09:10,9,10,550
20,09:23,9,23,563
21,10:15,10,15,615
22,11:32,11,32,692
23,12:01,12,1,721
24,10:58,10,58,658
25,10:38,10,38,638
26,10:46,10,46,646
26.2,09:50,9,50,590